TABLE 2,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2007,,,,,,,
,,,,,,,
(Metric tons unless otherwise specified),,,,,,,
,,,,,,,
,,,Major operating companies,,,,
Commodity,,, and major equity owners,,Location of main facilities,,Annual capacity
,,,"Perenco plc), 50%; Teikoku Oil Co. Ltd., ",,"Mwambe, and Tshlala offshore wells",,
,,,"32.3%; ODS Ltd., 17.7%",,,,
Refined,do.,,Soci_t_ Congo-Italienne de Raffinage ,,Petroleum refinery at Muanda1,,"6,200.00"
,,,"(Government, 50%, and Agip SA, 50%)",,,,
Silver,kilograms,,Anvil Mining Ltd.,,Dikulushi Mine ,,"50,000.00"
Sulfuric acid,,,La G_n_rale des Carrières et des Mines ,,Sulfuric acids plant at Kolwezi and Shituru,,NA.
,,,(G_camines),,,,
Do.,,,Central African Mining and Exploration ,,Plant at Kambove,,"7,200.00"
,,,Company plc (CAMEC),,,,
Tin,,,85th Brigade of the Congolese military ,,Bisie Mine near Walikale,,"10,600 cassiterite."
,,,forces,,,,
Do.,,,Artisanal miners,,"Mines at Manono in Katanga Province, ",,NA.
,,,,,"Kasese and Kalima in Maniema Province, ",,
,,,,,and Kamituga in Sud-Kivu Province,,
Do.,,,"Mining Processing Congo (MPC), ",,Processing plants at Goma,,"8,100e cassiterite."
,,,"Sodexmines, and other companies",,,,
Tungsten,,,Congolese military forces and artisanal ,,Of which:,,"1,000e wolframite."
,,,"miners, including:",,,,
,,,Congolese military forces,,Mines at Kamole in Sud-Kivu Province,,NA.
,,,Artisanal miners,,Mines at various sites in Nord-Kivu and,,NA.
,,,,,Sud-Kivu Provinces,,
Zinc,,,La Soci_t_ pour le Traitement du Terril de ,,Big Hill plant at Lubumbashi,,"15,000 zinc in zinc"
,,,Lubumbashi,,,,oxide.
Do.,,,United Resources AG,,Kipushi Mine1,,NA.
Do.,,,La G_n_rale des Carrières et des Mines ,,Kolwezi zinc leach plant and refinery1,,"30,000.00"
,,,(G_camines),,,,
Do.,,,do.,,Kolwezi zinc smelter1,,"72,000.00"
"Do., do. Ditto.  NA Not available.",,,,,,,
1Not operating in 2007.,,,,,,,
