TABLE 2,,,,,,,,,,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2008,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(Metric tons unless otherwise specified),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Major operating companies,,,,,,,,,,,,,
Commodity,,, and major equity owners,,Location of main facilities,Annual capacity,,,,,,,,,,
Cement,,,Cimenterie de Lukala [Enterprise Malta ,,Lukala plant near Kinshasa,"360,000.",,,,,,,,,,
,,,"Forrest SPRL (EGMF), 80%]",,,,,,,,,,,,,
Do.,,,Interlacs [Enterprise Malta Forrest SPRL,,Kabimba plant near Lubumbashi,"50,000.",,,,,,,,,,
,,,"(EGMF), 98.7%]",,,,,,,,,,,,,
Do.,,,do. ,,Katana plant in Sud-Kivu Province1,NA.,,,,,,,,,,
Do.,,,Cimenterie Nationale SARL,,"Kimpese plant, 40 kilometers south of Kinshasa","318,000.",,,,,,,,,,
Do.,,,Cemenkat [Enterprise Malta Forrest SPRL ,,"Lubudi plant, between Likasi and Kolwezi, ","200,000.",,,,,,,,,,
,,,"(EGMF), and La Générale des Carrières et ",,Katanga Province,,,,,,,,,,,
,,,des Mines (Gécamines)],,,,,,,,,,,,,
Coal,,,La Générale des Carrières et des Mines (Gécamines),,Luena Mine,"800,000 bituminous.",,,,,,,,,,
Copper and cobalt:,,,,,,,,,,,,,,,,
,,,"[Government, 80%, and Sibeka Group (which ",,Province1 ,,,,,,,,,,,
,,,"was owned by Mwana Africa plc), 20%]",,,,,,,,,,,,,
Do.,do.,,Artisanal miners,,"Mines at Aketi in Orientale Province, at ","27,000,000.e",,,,,,,,,,
,,,,,"Bakongo, Bakwachimuna, and Tshibue in ",,,,,,,,,,,
,,,,,"Kasai Oriental Province, at Tshikapa in ",,,,,,,,,,,
,,,,,"Kasai Occidental Province, and at various ",,,,,,,,,,,
,,,,,"sites in Bas-Congo, Bandundu, Equateur, ",,,,,,,,,,,
,,,,,and Katanga Provinces,,,,,,,,,,,
Gold,kilograms,,Artisanal miners,,Mines at various sites in Ituri District,"5,200.e",,,,,,,,,,
Do.,do.,,"Artisanal miners, Congolese military forces,",,Includes in Sud-Kivu Province:,"4,800.e",,,,,,,,,,
,,,and Forces Démocratiques pour la ,,,,,,,,,,,,,
,,,"Libération du Rwanda, of which:",,,,,,,,,,,,,
,,,Artisanal miners,,Various sites ,,,,,,,,,,,
,,,Congolese military forces,,Mufa and Mukungwe Mines,,,,,,,,,,,
,,,Forces Démocratiques pour la Libération ,,"Mines in Fizi, Kalehe, and Mwenga Territories ",,,,,,,,,,,
,,,du Rwanda,,,,,,,,,,,,,
Niobium (columbium) ,,,Mwangachuchu Hizi International ,,Bibatama in Nord-Kivu Province,120.,,,,,,,,,,
and tantalum,,,,,,,,,,,,,,,,
Do.,,,Artisanal and small-scale miners,,Mines at Bibatama in Nord-Kivu Province,NA.,,,,,,,,,,
,,,,,and Shabunda in Sud-Kivu Province,,,,,,,,,,,
Petroleum:,,,,,,,,,,,,,,,,
Crude,thousand,,Perenco REP (subsidiary of Perenco plc) and,,"Kifuku, Kinkasi, Liawenda, Makelekese, ","5,480.",,,,,,,,,,
,42-gallon barrels,,Congolaise des Hydrocarbures,,"Muanda, Nsiamfuma, and Tschiende",,,,,,,,,,,
,,,,,onshore wells,,,,,,,,,,,
Do.,do.,,Muanda International Oil Co. (subsidiary of ,,"GCO, Libwa, Lubi, Mibale, Moko, Motoba, ","3,650.",,,,,,,,,,
,,,"Perenco plc), 50%; Teikoku Oil Co. Ltd., ",,"Mwambe, and Tshlala offshore wells",,,,,,,,,,,
,,,"32.3%; ODS Ltd., 17.7%",,,,,,,,,,,,,
Silver,kilograms,,Anvil Mining Ltd.,,Dikulushi Mine1 ,"50,000.",,,,,,,,,,
Sulfuric acid,,,La Générale des Carrières et des Mines ,,Sulfuric acid plants at Kolwezi and Shituru,NA.,,,,,,,,,,
,,,(Gécamines),,,,,,,,,,,,,
Do.,,,Central African Mining and Exploration ,,Plant at Kambove,"7,200.",,,,,,,,,,
,,,Company plc (CAMEC),,,,,,,,,,,,,
Tin,,,85th Brigade of the Congolese military forces,,Bisie Mines in Nord-Kivu Province,"12,000 cassiterite.",,,,,,,,,,
Do.,,,Artisanal miners,,Kalima Mines in Maniema Province,"1,200e cassiterite.",,,,,,,,,,
Do.,,,"Artisanal miners, Forces Démocratiques pour",,Mines near Shabunda in Sud-Kivu Province,840e cassiterite.,,,,,,,,,,
,,,"la Libération du Rwanda, and Congolese",,,,,,,,,,,,,
,,,military forces,,,,,,,,,,,,,
Do.,,,Artisanal miners,,Kasese Mines in Maniema Province,500e cassiterite.,,,,,,,,,,
Do.,,,Forces Démocratiques pour la Libération du ,,Mines in Kalehe and Mwenga Territories in ,NA.,,,,,,,,,,
,,,Rwanda,,Sud-Kivu Province and in Walikale,,,,,,,,,,,
,,,,,Territory in Nord-Kivu Province ,,,,,,,,,,,
Do.,,,Congolese military forces,,Mines at Lemara and Tubimbi,NA.,,,,,,,,,,
Do.,,,"Mining Processing Congo (MPC), Sodexmines,",,Processing plants at Goma,"14,000e cassiterite.",,,,,,,,,,
,,,and other companies,,,,,,,,,,,,,
Tungsten,,,"Congolese military forces and artisanal miners,",,Includes:,"1,000e wolframite.",,,,,,,,,,
,,,of which:,,,,,,,,,,,,,
,,,Congolese military forces,,Mines at Kamole in Sud-Kivu Province,,,,,,,,,,,
,,,Artisanal miners,,Mines at various sites in Nord-Kivu and,,,,,,,,,,,
,,,,,Sud-Kivu Provinces,,,,,,,,,,,
Zinc,,,La Société pour le Traitement du Terril de ,,Big Hill plant at Lubumbashi,"15,000 zinc in zinc",,,,,,,,,,
,,,Lubumbashi,,,oxide.,,,,,,,,,,
Do.,,,United Resources AG,,Kipushi Mine1,NA.,,,,,,,,,,
Do.,,,La Générale des Carrières et des Mines (Gécamines),,Kolwezi zinc leach plant and refinery1,"30,000.",,,,,,,,,,
Do.,,,do.,,Kolwezi zinc smelter1,"72,000.",,,,,,,,,,
"eEstimated.  Do., do. Ditto.  NA Not available.",,,,,,,,,,,,,,,,
1Not operating at the end of 2008.,,,,,,,,,,,,,,,,
